ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MantenimeintoID,TIEMPO_RESOLUCION
29,Vandalismo,2024-08-19T00:00:00Z,Abierta,508-98-5154,13953,70
29,Vandalismo,2024-08-19T00:00:00Z,Abierta,378-11-4367,13953,70
29,Vandalismo,2024-08-19T00:00:00Z,Abierta,378-11-4367,13953,70
30,Vandalismo,2024-04-18T00:00:00Z,Cerrada,972-87-4607,14904,166
31,Desgaste,2024-09-30T00:00:00Z,Cerrada,223-42-0669,6337,105
31,Desgaste,2024-09-30T00:00:00Z,Cerrada,449-74-0186,6337,105
31,Desgaste,2024-09-30T00:00:00Z,Cerrada,398-59-2924,6337,105
32,Desgaste,2024-04-30T00:00:00Z,Abierta,801-97-2555,9082,72
32,Desgaste,2024-04-30T00:00:00Z,Abierta,801-97-2555,11531,72
32,Desgaste,2024-04-30T00:00:00Z,Abierta,093-35-3953,9082,72
32,Desgaste,2024-04-30T00:00:00Z,Abierta,093-35-3953,11531,72
32,Desgaste,2024-04-30T00:00:00Z,Abierta,708-79-2896,9082,72
32,Desgaste,2024-04-30T00:00:00Z,Abierta,708-79-2896,11531,72
33,Mal_funcionamiento,2024-02-03T00:00:00Z,Abierta,593-44-5401,4581,185
33,Mal_funcionamiento,2024-02-03T00:00:00Z,Abierta,398-08-9022,4581,185
34,Mal_funcionamiento,2024-03-19T00:00:00Z,Cerrada,911-89-5856,14143,343
34,Mal_funcionamiento,2024-03-19T00:00:00Z,Cerrada,280-56-6309,14143,343
35,Vandalismo,2024-06-13T00:00:00Z,Cerrada,395-06-9681,559,349
35,Vandalismo,2024-06-13T00:00:00Z,Cerrada,395-06-9681,5565,349
36,Rotura,2024-06-05T00:00:00Z,Abierta,797-83-0198,13540,249
37,Desgaste,2024-03-27T00:00:00Z,Cerrada,268-12-9651,2841,151
37,Desgaste,2024-03-27T00:00:00Z,Cerrada,268-12-9651,8770,151
38,Vandalismo,2024-08-28T00:00:00Z,Cerrada,506-12-3016,9589,212
38,Vandalismo,2024-08-28T00:00:00Z,Cerrada,724-54-6205,9589,212
39,Rotura,2024-05-30T00:00:00Z,Abierta,148-81-7465,4881,285
39,Rotura,2024-05-30T00:00:00Z,Abierta,148-81-7465,10453,285
39,Rotura,2024-05-30T00:00:00Z,Abierta,892-51-8894,4881,285
39,Rotura,2024-05-30T00:00:00Z,Abierta,892-51-8894,10453,285
39,Rotura,2024-05-30T00:00:00Z,Abierta,277-22-2474,4881,285
39,Rotura,2024-05-30T00:00:00Z,Abierta,277-22-2474,10453,285
40,Vandalismo,2024-03-02T00:00:00Z,Abierta,277-13-4981,4290,364
41,Mal_funcionamiento,2024-02-07T00:00:00Z,Cerrada,896-45-6813,8378,158
42,Rotura,2024-04-28T00:00:00Z,Cerrada,733-04-2086,12228,99
42,Rotura,2024-04-28T00:00:00Z,Cerrada,735-30-7385,12228,99
42,Rotura,2024-04-28T00:00:00Z,Cerrada,003-12-7817,12228,99
43,Mal_funcionamiento,2024-08-26T00:00:00Z,Cerrada,176-49-6345,13503,87
43,Mal_funcionamiento,2024-08-26T00:00:00Z,Cerrada,271-42-0156,13503,87
43,Mal_funcionamiento,2024-08-26T00:00:00Z,Cerrada,199-53-0558,13503,87
44,Vandalismo,2024-06-18T00:00:00Z,Cerrada,351-49-6681,7333,172
45,Desgaste,2024-09-19T00:00:00Z,Abierta,461-89-3669,14756,70
46,Vandalismo,2024-02-11T00:00:00Z,Cerrada,888-99-5847,842,71
46,Vandalismo,2024-02-11T00:00:00Z,Cerrada,193-18-4017,842,71
46,Vandalismo,2024-02-11T00:00:00Z,Cerrada,053-99-8190,842,71
47,Rotura,2024-04-14T00:00:00Z,Cerrada,632-00-3897,1462,209
47,Rotura,2024-04-14T00:00:00Z,Cerrada,459-73-0908,1462,209
47,Rotura,2024-04-14T00:00:00Z,Cerrada,668-32-8793,1462,209
48,Rotura,2024-10-10T00:00:00Z,Abierta,596-19-1998,2297,359
48,Rotura,2024-10-10T00:00:00Z,Abierta,596-19-1998,2494,359
48,Rotura,2024-10-10T00:00:00Z,Abierta,286-98-4422,2297,359
48,Rotura,2024-10-10T00:00:00Z,Abierta,286-98-4422,2494,359
48,Rotura,2024-10-10T00:00:00Z,Abierta,041-15-2415,2297,359
48,Rotura,2024-10-10T00:00:00Z,Abierta,041-15-2415,2494,359
49,Rotura,2024-10-08T00:00:00Z,Cerrada,689-32-4439,2179,113
49,Rotura,2024-10-08T00:00:00Z,Cerrada,873-27-3314,2179,113
49,Rotura,2024-10-08T00:00:00Z,Cerrada,913-85-6147,2179,113
50,Rotura,2024-01-27T00:00:00Z,Abierta,863-33-3766,7750,292
51,Vandalismo,2024-06-14T00:00:00Z,Abierta,869-34-7706,1438,100
52,Mal_funcionamiento,2024-09-14T00:00:00Z,Cerrada,142-30-5668,8133,123
52,Mal_funcionamiento,2024-09-14T00:00:00Z,Cerrada,955-90-1850,8133,123
53,Rotura,2024-02-07T00:00:00Z,Abierta,738-70-3572,8945,40
54,Desgaste,2024-09-15T00:00:00Z,Cerrada,014-33-4371,14807,156
54,Desgaste,2024-09-15T00:00:00Z,Cerrada,508-48-3418,14807,156
54,Desgaste,2024-09-15T00:00:00Z,Cerrada,387-76-2628,14807,156
55,Vandalismo,2024-10-06T00:00:00Z,Abierta,541-92-0256,11370,72
55,Vandalismo,2024-10-06T00:00:00Z,Abierta,856-89-1964,11370,72
55,Vandalismo,2024-10-06T00:00:00Z,Abierta,016-30-7094,11370,72
56,Mal_funcionamiento,2023-12-13T00:00:00Z,Cerrada,117-80-0652,12152,5
56,Mal_funcionamiento,2023-12-13T00:00:00Z,Cerrada,117-80-0652,12720,5
56,Mal_funcionamiento,2023-12-13T00:00:00Z,Cerrada,060-21-9395,12152,5
56,Mal_funcionamiento,2023-12-13T00:00:00Z,Cerrada,060-21-9395,12720,5
56,Mal_funcionamiento,2023-12-13T00:00:00Z,Cerrada,089-59-2419,12152,5
56,Mal_funcionamiento,2023-12-13T00:00:00Z,Cerrada,089-59-2419,12720,5
57,Vandalismo,2024-08-29T00:00:00Z,Abierta,172-97-8724,13468,277
58,Vandalismo,2024-09-03T00:00:00Z,Cerrada,871-28-1730,587,274
58,Vandalismo,2024-09-03T00:00:00Z,Cerrada,541-59-4325,587,274
58,Vandalismo,2024-09-03T00:00:00Z,Cerrada,471-54-1054,587,274
59,Vandalismo,2024-08-26T00:00:00Z,Cerrada,690-16-4774,1539,165
59,Vandalismo,2024-08-26T00:00:00Z,Cerrada,418-44-8103,1539,165
60,Rotura,2024-08-03T00:00:00Z,Cerrada,250-40-0290,1989,117
60,Rotura,2024-08-03T00:00:00Z,Cerrada,250-40-0290,8098,117
60,Rotura,2024-08-03T00:00:00Z,Cerrada,782-70-6692,1989,117
60,Rotura,2024-08-03T00:00:00Z,Cerrada,782-70-6692,8098,117
60,Rotura,2024-08-03T00:00:00Z,Cerrada,401-29-1803,1989,117
60,Rotura,2024-08-03T00:00:00Z,Cerrada,401-29-1803,8098,117
61,Desgaste,2024-03-22T00:00:00Z,Abierta,100-01-0264,9734,240
61,Desgaste,2024-03-22T00:00:00Z,Abierta,410-33-9822,9734,240
62,Mal_funcionamiento,2024-08-23T00:00:00Z,Cerrada,322-98-2998,2632,95
63,Desgaste,2024-03-07T00:00:00Z,Abierta,479-94-4802,3607,20
63,Desgaste,2024-03-07T00:00:00Z,Abierta,032-03-7429,3607,20
64,Rotura,2024-03-08T00:00:00Z,Abierta,901-73-6249,7756,64
65,Desgaste,2024-01-26T00:00:00Z,Cerrada,241-48-9310,9794,38
66,Mal_funcionamiento,2024-10-11T00:00:00Z,Cerrada,808-83-2834,8081,218
66,Mal_funcionamiento,2024-10-11T00:00:00Z,Cerrada,555-94-9326,8081,218
66,Mal_funcionamiento,2024-10-11T00:00:00Z,Cerrada,711-02-3044,8081,218
67,Rotura,2024-01-16T00:00:00Z,Cerrada,090-73-5016,7601,103
67,Rotura,2024-01-16T00:00:00Z,Cerrada,090-73-5016,11223,103
67,Rotura,2024-01-16T00:00:00Z,Cerrada,018-48-4998,7601,103
67,Rotura,2024-01-16T00:00:00Z,Cerrada,018-48-4998,11223,103
67,Rotura,2024-01-16T00:00:00Z,Cerrada,236-66-5410,7601,103
67,Rotura,2024-01-16T00:00:00Z,Cerrada,236-66-5410,11223,103
68,Rotura,2024-09-29T00:00:00Z,Cerrada,889-06-0212,2315,123
68,Rotura,2024-09-29T00:00:00Z,Cerrada,889-06-0212,12518,123
68,Rotura,2024-09-29T00:00:00Z,Cerrada,223-67-7660,2315,123
68,Rotura,2024-09-29T00:00:00Z,Cerrada,223-67-7660,12518,123
69,Desgaste,2024-09-28T00:00:00Z,Cerrada,597-83-3782,3205,300
69,Desgaste,2024-09-28T00:00:00Z,Cerrada,438-90-8611,3205,300
69,Desgaste,2024-09-28T00:00:00Z,Cerrada,310-67-5019,3205,300
70,Vandalismo,2024-02-03T00:00:00Z,Cerrada,288-08-3515,11544,115
70,Vandalismo,2024-02-03T00:00:00Z,Cerrada,901-67-6635,11544,115
71,Vandalismo,2024-03-16T00:00:00Z,Cerrada,778-65-5960,4456,100
71,Vandalismo,2024-03-16T00:00:00Z,Cerrada,282-19-2052,4456,100
72,Vandalismo,2024-10-05T00:00:00Z,Cerrada,460-57-1099,12063,171
73,Desgaste,2024-06-07T00:00:00Z,Abierta,305-88-3625,3462,335
73,Desgaste,2024-06-07T00:00:00Z,Abierta,753-54-9380,3462,335
73,Desgaste,2024-06-07T00:00:00Z,Abierta,738-87-3253,3462,335
74,Desgaste,2024-02-14T00:00:00Z,Cerrada,154-86-3026,1352,335
74,Desgaste,2024-02-14T00:00:00Z,Cerrada,138-40-0694,1352,335
74,Desgaste,2024-02-14T00:00:00Z,Cerrada,032-33-8307,1352,335
75,Desgaste,2023-11-16T00:00:00Z,Cerrada,733-85-7189,10547,227
75,Desgaste,2023-11-16T00:00:00Z,Cerrada,603-85-7965,10547,227
76,Mal_funcionamiento,2024-07-05T00:00:00Z,Cerrada,260-90-2212,6303,106
76,Mal_funcionamiento,2024-07-05T00:00:00Z,Cerrada,841-37-3199,6303,106
76,Mal_funcionamiento,2024-07-05T00:00:00Z,Cerrada,628-45-2561,6303,106
77,Desgaste,2024-03-20T00:00:00Z,Cerrada,311-23-9012,13487,51
77,Desgaste,2024-03-20T00:00:00Z,Cerrada,542-71-1216,13487,51
78,Rotura,2024-09-30T00:00:00Z,Abierta,085-97-4774,2057,200
79,Mal_funcionamiento,2024-05-07T00:00:00Z,Cerrada,127-70-7755,14167,23
79,Mal_funcionamiento,2024-05-07T00:00:00Z,Cerrada,837-71-6783,14167,23
80,Mal_funcionamiento,2023-11-25T00:00:00Z,Abierta,894-46-2114,4031,62
80,Mal_funcionamiento,2023-11-25T00:00:00Z,Abierta,894-46-2114,12053,62
81,Rotura,2024-10-06T00:00:00Z,Cerrada,391-88-3157,2899,178
81,Rotura,2024-10-06T00:00:00Z,Cerrada,391-88-3157,8710,178
81,Rotura,2024-10-06T00:00:00Z,Cerrada,380-75-1092,2899,178
81,Rotura,2024-10-06T00:00:00Z,Cerrada,380-75-1092,8710,178
82,Desgaste,2024-04-11T00:00:00Z,Cerrada,838-96-5164,1741,112
82,Desgaste,2024-04-11T00:00:00Z,Cerrada,818-45-3964,1741,112
83,Vandalismo,2024-04-27T00:00:00Z,Cerrada,575-21-6618,2507,69
83,Vandalismo,2024-04-27T00:00:00Z,Cerrada,575-21-6618,5962,69
83,Vandalismo,2024-04-27T00:00:00Z,Cerrada,260-56-5535,2507,69
83,Vandalismo,2024-04-27T00:00:00Z,Cerrada,260-56-5535,5962,69
84,Desgaste,2024-01-03T00:00:00Z,Abierta,824-77-2616,11189,356
84,Desgaste,2024-01-03T00:00:00Z,Abierta,158-28-9848,11189,356
84,Desgaste,2024-01-03T00:00:00Z,Abierta,514-82-8382,11189,356
85,Vandalismo,2023-12-16T00:00:00Z,Cerrada,099-35-1380,6988,26
86,Vandalismo,2024-09-17T00:00:00Z,Abierta,217-98-1971,11802,239
86,Vandalismo,2024-09-17T00:00:00Z,Abierta,937-20-7275,11802,239
87,Rotura,2024-03-23T00:00:00Z,Cerrada,788-21-2876,3508,163
87,Rotura,2024-03-23T00:00:00Z,Cerrada,788-21-2876,8892,163
87,Rotura,2024-03-23T00:00:00Z,Cerrada,788-21-2876,12574,163
87,Rotura,2024-03-23T00:00:00Z,Cerrada,946-79-0736,3508,163
87,Rotura,2024-03-23T00:00:00Z,Cerrada,946-79-0736,8892,163
87,Rotura,2024-03-23T00:00:00Z,Cerrada,946-79-0736,12574,163
88,Mal_funcionamiento,2024-04-02T00:00:00Z,Abierta,675-54-6552,1330,230
88,Mal_funcionamiento,2024-04-02T00:00:00Z,Abierta,409-86-2303,1330,230
89,Mal_funcionamiento,2024-05-18T00:00:00Z,Cerrada,817-34-2428,4249,278
89,Mal_funcionamiento,2024-05-18T00:00:00Z,Cerrada,554-49-0304,4249,278
89,Mal_funcionamiento,2024-05-18T00:00:00Z,Cerrada,218-00-4040,4249,278
90,Desgaste,2024-01-14T00:00:00Z,Abierta,174-43-1815,10012,335
90,Desgaste,2024-01-14T00:00:00Z,Abierta,019-00-6767,10012,335
91,Mal_funcionamiento,2024-02-13T00:00:00Z,Cerrada,148-66-5370,12883,271
91,Mal_funcionamiento,2024-02-13T00:00:00Z,Cerrada,430-05-1686,12883,271
92,Desgaste,2024-01-09T00:00:00Z,Cerrada,865-70-1340,1855,222
92,Desgaste,2024-01-09T00:00:00Z,Cerrada,760-66-5305,1855,222
92,Desgaste,2024-01-09T00:00:00Z,Cerrada,798-74-5409,1855,222
93,Desgaste,2023-11-27T00:00:00Z,Cerrada,017-43-7295,1845,338
93,Desgaste,2023-11-27T00:00:00Z,Cerrada,357-05-1407,1845,338
94,Vandalismo,2024-05-09T00:00:00Z,Cerrada,436-60-7701,1454,68
95,Mal_funcionamiento,2023-11-20T00:00:00Z,Abierta,982-27-6070,2112,10
95,Mal_funcionamiento,2023-11-20T00:00:00Z,Abierta,982-27-6070,11757,10
96,Mal_funcionamiento,2023-10-15T00:00:00Z,Cerrada,903-89-7000,1003,53
96,Mal_funcionamiento,2023-10-15T00:00:00Z,Cerrada,903-89-7000,9563,53
96,Mal_funcionamiento,2023-10-15T00:00:00Z,Cerrada,729-25-9421,1003,53
96,Mal_funcionamiento,2023-10-15T00:00:00Z,Cerrada,729-25-9421,9563,53
96,Mal_funcionamiento,2023-10-15T00:00:00Z,Cerrada,167-74-2219,1003,53
96,Mal_funcionamiento,2023-10-15T00:00:00Z,Cerrada,167-74-2219,9563,53
97,Desgaste,2024-05-29T00:00:00Z,Abierta,741-25-9934,9212,296
97,Desgaste,2024-05-29T00:00:00Z,Abierta,927-72-9530,9212,296
98,Desgaste,2024-01-07T00:00:00Z,Cerrada,433-38-2732,2609,330
98,Desgaste,2024-01-07T00:00:00Z,Cerrada,243-26-3469,2609,330
99,Desgaste,2023-11-14T00:00:00Z,Abierta,775-68-8525,1240,20
99,Desgaste,2023-11-14T00:00:00Z,Abierta,775-68-8525,4435,20
99,Desgaste,2023-11-14T00:00:00Z,Abierta,775-68-8525,12761,20
99,Desgaste,2023-11-14T00:00:00Z,Abierta,081-60-4000,1240,20
99,Desgaste,2023-11-14T00:00:00Z,Abierta,081-60-4000,4435,20
99,Desgaste,2023-11-14T00:00:00Z,Abierta,081-60-4000,12761,20
99,Desgaste,2023-11-14T00:00:00Z,Abierta,398-68-3882,1240,20
99,Desgaste,2023-11-14T00:00:00Z,Abierta,398-68-3882,4435,20
99,Desgaste,2023-11-14T00:00:00Z,Abierta,398-68-3882,12761,20
100,Vandalismo,2024-05-19T00:00:00Z,Cerrada,770-24-2945,6864,260
101,Mal_funcionamiento,2024-10-03T00:00:00Z,Cerrada,336-56-1396,1560,108
101,Mal_funcionamiento,2024-10-03T00:00:00Z,Cerrada,806-70-9754,1560,108
101,Mal_funcionamiento,2024-10-03T00:00:00Z,Cerrada,180-58-7713,1560,108
102,Desgaste,2024-08-22T00:00:00Z,Abierta,110-54-2966,9012,318
102,Desgaste,2024-08-22T00:00:00Z,Abierta,743-88-8084,9012,318
103,Desgaste,2024-07-11T00:00:00Z,Cerrada,220-90-9225,1269,67
103,Desgaste,2024-07-11T00:00:00Z,Cerrada,220-90-9225,10379,67
103,Desgaste,2024-07-11T00:00:00Z,Cerrada,628-73-9187,1269,67
103,Desgaste,2024-07-11T00:00:00Z,Cerrada,628-73-9187,10379,67
104,Mal_funcionamiento,2023-11-02T00:00:00Z,Cerrada,546-06-9283,5666,42
105,Rotura,2023-12-06T00:00:00Z,Cerrada,753-87-8349,7976,352
105,Rotura,2023-12-06T00:00:00Z,Cerrada,753-87-8349,14313,352
105,Rotura,2023-12-06T00:00:00Z,Cerrada,831-23-8385,7976,352
105,Rotura,2023-12-06T00:00:00Z,Cerrada,831-23-8385,14313,352
106,Vandalismo,2023-12-23T00:00:00Z,Cerrada,358-75-9776,4356,222
106,Vandalismo,2023-12-23T00:00:00Z,Cerrada,358-75-9776,11765,222
107,Rotura,2023-10-21T00:00:00Z,Cerrada,813-16-4973,11043,65
108,Desgaste,2024-05-19T00:00:00Z,Abierta,888-02-5417,12162,3
109,Rotura,2023-12-27T00:00:00Z,Cerrada,402-42-7281,5315,92
109,Rotura,2023-12-27T00:00:00Z,Cerrada,406-56-3619,5315,92
109,Rotura,2023-12-27T00:00:00Z,Cerrada,660-91-9231,5315,92
110,Mal_funcionamiento,2023-11-09T00:00:00Z,Abierta,915-79-7888,7092,110
110,Mal_funcionamiento,2023-11-09T00:00:00Z,Abierta,915-79-7888,11539,110
110,Mal_funcionamiento,2023-11-09T00:00:00Z,Abierta,804-50-1687,7092,110
110,Mal_funcionamiento,2023-11-09T00:00:00Z,Abierta,804-50-1687,11539,110
111,Vandalismo,2024-08-24T00:00:00Z,Cerrada,670-05-9074,11234,70
111,Vandalismo,2024-08-24T00:00:00Z,Cerrada,670-05-9074,12677,70
112,Mal_funcionamiento,2023-10-23T00:00:00Z,Cerrada,847-44-2878,1219,228
112,Mal_funcionamiento,2023-10-23T00:00:00Z,Cerrada,847-44-2878,9711,228
112,Mal_funcionamiento,2023-10-23T00:00:00Z,Cerrada,847-44-2878,14285,228
112,Mal_funcionamiento,2023-10-23T00:00:00Z,Cerrada,440-29-6963,1219,228
112,Mal_funcionamiento,2023-10-23T00:00:00Z,Cerrada,440-29-6963,9711,228
112,Mal_funcionamiento,2023-10-23T00:00:00Z,Cerrada,440-29-6963,14285,228
112,Mal_funcionamiento,2023-10-23T00:00:00Z,Cerrada,107-46-8349,1219,228
112,Mal_funcionamiento,2023-10-23T00:00:00Z,Cerrada,107-46-8349,9711,228
112,Mal_funcionamiento,2023-10-23T00:00:00Z,Cerrada,107-46-8349,14285,228
113,Vandalismo,2024-11-06T00:00:00Z,Cerrada,422-00-3504,5530,147
113,Vandalismo,2024-11-06T00:00:00Z,Cerrada,422-00-3504,11294,147
113,Vandalismo,2024-11-06T00:00:00Z,Cerrada,151-14-3672,5530,147
113,Vandalismo,2024-11-06T00:00:00Z,Cerrada,151-14-3672,11294,147
114,Mal_funcionamiento,2024-04-20T00:00:00Z,Cerrada,944-32-3034,4534,194
115,Mal_funcionamiento,2024-06-06T00:00:00Z,Abierta,692-64-7625,11825,226
115,Mal_funcionamiento,2024-06-06T00:00:00Z,Abierta,692-64-7625,13298,226
116,Rotura,2024-01-04T00:00:00Z,Cerrada,199-55-3678,13341,287
116,Rotura,2024-01-04T00:00:00Z,Cerrada,999-56-4531,13341,287
116,Rotura,2024-01-04T00:00:00Z,Cerrada,559-08-6664,13341,287
117,Vandalismo,2024-01-10T00:00:00Z,Cerrada,239-90-7990,1005,17
117,Vandalismo,2024-01-10T00:00:00Z,Cerrada,925-93-2493,1005,17
117,Vandalismo,2024-01-10T00:00:00Z,Cerrada,038-88-0793,1005,17
118,Rotura,2024-05-09T00:00:00Z,Abierta,488-36-2592,1394,231
118,Rotura,2024-05-09T00:00:00Z,Abierta,488-36-2592,8723,231
118,Rotura,2024-05-09T00:00:00Z,Abierta,755-98-6242,1394,231
118,Rotura,2024-05-09T00:00:00Z,Abierta,755-98-6242,8723,231
119,Vandalismo,2024-06-26T00:00:00Z,Abierta,314-20-5792,14814,103
119,Vandalismo,2024-06-26T00:00:00Z,Abierta,008-09-7815,14814,103
120,Desgaste,2024-03-07T00:00:00Z,Cerrada,721-47-7070,13667,23
120,Desgaste,2024-03-07T00:00:00Z,Cerrada,761-76-9648,13667,23
121,Vandalismo,2024-08-22T00:00:00Z,Cerrada,531-32-3397,2159,336
121,Vandalismo,2024-08-22T00:00:00Z,Cerrada,531-32-3397,4757,336
121,Vandalismo,2024-08-22T00:00:00Z,Cerrada,378-21-9839,2159,336
121,Vandalismo,2024-08-22T00:00:00Z,Cerrada,378-21-9839,4757,336
121,Vandalismo,2024-08-22T00:00:00Z,Cerrada,066-94-8131,2159,336
121,Vandalismo,2024-08-22T00:00:00Z,Cerrada,066-94-8131,4757,336
122,Mal_funcionamiento,2024-07-01T00:00:00Z,Cerrada,021-72-0249,5358,254
122,Mal_funcionamiento,2024-07-01T00:00:00Z,Cerrada,106-83-9545,5358,254
122,Mal_funcionamiento,2024-07-01T00:00:00Z,Cerrada,932-16-5096,5358,254
123,Mal_funcionamiento,2023-11-03T00:00:00Z,Cerrada,380-33-3475,3608,178
123,Mal_funcionamiento,2023-11-03T00:00:00Z,Cerrada,380-33-3475,6350,178
124,Mal_funcionamiento,2024-02-29T00:00:00Z,Abierta,229-67-5850,12976,265
125,Rotura,2024-10-08T00:00:00Z,Abierta,509-39-6212,2417,17
125,Rotura,2024-10-08T00:00:00Z,Abierta,706-89-6262,2417,17
126,Vandalismo,2024-06-26T00:00:00Z,Abierta,999-31-9294,10980,50
127,Rotura,2024-01-03T00:00:00Z,Abierta,762-87-6031,893,179
